player,team
Jarren Duran*,BOS
Shohei Ohtani*,LAD
Gunnar Henderson*,BAL
Marcus Semien,TEX
Juan Soto*,NYY
Bobby Witt Jr.,KCR
Aaron Judge,NYY
Vladimir Guerrero Jr.,TOR
Elly De La Cruz#,CIN
Pete Alonso,NYM
Ezequiel Tovar,COL
Bryan Reynolds#,PIT
Kyle Schwarber*,PHI
Francisco Lindor#,NYM
Anthony Volpe,NYY
Willy Adames,MIL
Marcell Ozuna,ATL
Matt Olson*,ATL
Corbin Carroll*,ARI
Jose Altuve,HOU
José Ramírez#,CLE
William Contreras,MIL
Luis Arráez*,2TM
Luis Arráez*,MIA
Luis Arráez*,SDP
Jurickson Profar#,SDP
Anthony Santander#,BAL
Gleyber Torres,NYY
Brandon Nimmo*,NYM
Taylor Ward,LAA
Nick Castellanos,PHI
Ian Happ#,CHC
Jake Cronenworth*,SDP
Spencer Steer,CIN
Paul Goldschmidt,STL
Player,Team
Brendan Donovan*,STL
Teoscar Hernández,LAD
Salvador Perez,KCR
Jeremy Peña,HOU
Randy Arozarena,2TM
Randy Arozarena,TBR
Randy Arozarena,SEA
Matt Chapman,SFG
Ryan McMahon*,COL
Manny Machado,SDP
JJ Bleday*,OAK
Nico Hoerner,CHC
Isaac Paredes,2TM
Isaac Paredes,TBR
Isaac Paredes,CHC
Eugenio Suárez,ARI
Freddie Freeman*,LAD
Adley Rutschman#,BAL
Adolis García,TEX
Jonathan India,CIN
Masyn Winn,STL
Yordan Alvarez*,HOU
Nolan Arenado,STL
Willi Castro#,MIN
Alex Bregman,HOU
Andrés Giménez*,CLE
Josh Naylor*,CLE
Bryce Harper*,PHI
Cal Raleigh#,SEA
Maikel Garcia,KCR
Bryan De La Cruz,2TM
Bryan De La Cruz,MIA
Bryan De La Cruz,PIT
Yandy Díaz,TBR
Alex Verdugo*,NYY
Player,Team
Jazz Chisholm Jr.*,2TM
Jazz Chisholm Jr.*,MIA
Jazz Chisholm Jr.*,NYY
Yainer Diaz,HOU
Brice Turang*,MIL
Andrew Vaughn,CHW
Brent Rooker,OAK
George Springer,TOR
Julio Rodríguez,SEA
Christopher Morel,2TM
Christopher Morel,CHC
Christopher Morel,TBR
Nolan Schanuel*,LAA
Alec Bohm,PHI
Brenton Doyle,COL
Josh Bell#,2TM
Josh Bell#,MIA
Josh Bell#,ARI
CJ Abrams*,WSN
Orlando Arcia,ATL
Zach Neto,LAA
Rafael Devers*,BOS
Oneil Cruz*,PIT
Alec Burleson*,STL
Carlos Santana#,MIN
Jackson Merrill*,SDP
Dansby Swanson,CHC
Josh Smith*,TEX
Seiya Suzuki,CHC
Riley Greene*,DET
Ketel Marte#,ARI
Jake Burger,MIA
Jorge Soler,2TM
Jorge Soler,SFG
Jorge Soler,ATL
Player,Team
Jackson Chourio,MIL
Ceddanne Rafaela,BOS
Bryson Stott*,PHI
Cody Bellinger*,CHC
Michael Busch*,CHC
Matt Vierling,DET
Nathaniel Lowe*,TEX
Colton Cowser*,BAL
Wyatt Langford,TEX
Colt Keith*,DET
Vinnie Pasquantino*,KCR
Lourdes Gurriel Jr.,ARI
Christian Walker,ARI
Zack Gelof,OAK
Will Smith,LAD
Steven Kwan*,CLE
Brendan Rodgers,COL
Trea Turner,PHI
Justin Turner,2TM
Justin Turner,TOR
Justin Turner,SEA
Jesús Sánchez*,MIA
Ty France,2TM
Ty France,SEA
Ty France,CIN
Shea Langeliers,OAK
Corey Seager*,TEX
Leody Taveras#,TEX
Luis García Jr.*,WSN
Lane Thomas,2TM
Lane Thomas,WSN
Lane Thomas,CLE
Sal Frelick*,MIL
Andrew Benintendi*,CHW
Logan O'Hoppe,LAA
Player,Team
Jacob Young,WSN
Heliot Ramos,SFG
Rhys Hoskins,MIL
Mookie Betts,LAD
Andrew McCutchen,PIT
Tyler Stephenson,CIN
Jake Meyers,HOU
Daulton Varsho*,TOR
Joey Ortiz,MIL
Jesse Winker*,2TM
Jesse Winker*,WSN
Jesse Winker*,NYM
Ryan Mountcastle,BAL
Gavin Sheets*,CHW
Charlie Blackmon*,COL
Cedric Mullins*,BAL
Isiah Kiner-Falefa,2TM
Isiah Kiner-Falefa,TOR
Isiah Kiner-Falefa,PIT
J.D. Martinez,NYM
Jake McCarthy*,ARI
Ryan O'Hearn*,BAL
Jonah Heim#,TEX
Michael Conforto*,SFG
Gavin Lux*,LAD
Connor Wong,BOS
Keibert Ruiz#,WSN
José Caballero,TBR
Paul DeJong,2TM
Paul DeJong,CHW
Paul DeJong,KCR
Tommy Pham,3TM
Tommy Pham,2TM
Tommy Pham,CHW
Tommy Pham,STL
Player,Team
Tommy Pham,KCR
Brandon Marsh*,PHI
Josh Rojas*,SEA
Mike Yastrzemski*,SFG
Tyler O'Neill,BOS
Jeff McNeil*,NYM
Michael Harris II*,ATL
Ha-Seong Kim,SDP
Jorge Polanco#,SEA
Austin Riley,ATL
Ryan Jeffers,MIN
Xander Bogaerts,SDP
Jeimer Candelario#,CIN
Mark Canha,2TM
Mark Canha,DET
Mark Canha,SFG
Gio Urshela,2TM
Gio Urshela,DET
Gio Urshela,ATL
Max Schuemann,OAK
Giancarlo Stanton,NYY
Michael Toglia#,COL
Luke Raley*,SEA
Davis Schneider,TOR
Mark Vientos,NYM
Ernie Clement,TOR
Jo Adell,LAA
Lawrence Butler*,OAK
J.P. Crawford*,SEA
MJ Melendez*,KCR
Jarred Kelenic*,ATL
Joc Pederson*,ARI
Patrick Bailey#,SFG
Jose Siri,TBR
Wilyer Abreu*,BOS
Player,Team
Jordan Westburg,BAL
Jared Triolo,PIT
Nicky Lopez*,CHW
Andy Pages,LAD
Brayan Rocchio#,CLE
Dylan Moore,SEA
Fernando Tatis Jr.,SDP
Harrison Bader,NYM
Ozzie Albies#,ATL
Otto López,MIA
Blake Perkins#,MIL
Mitch Garver,SEA
José Miranda,MIN
Mauricio Dubón,HOU
Kyle Isbel*,KCR
Brandon Lowe*,TBR
Wenceel Pérez#,DET
Luis Robert Jr.,CHW
Hunter Renfroe,KCR
Mitch Haniger,SEA
Rowdy Tellez*,PIT
Masataka Yoshida*,BOS
Mickey Moniak*,LAA
Connor Joe,PIT
Austin Wells*,NYY
J.T. Realmuto,PHI
Pete Crow-Armstrong*,CHC
Lars Nootbaar*,STL
Jon Singleton*,HOU
Nolan Gorman*,STL
LaMonte Wade Jr.*,SFG
Seth Brown*,OAK
Trevor Larnach*,MIN
Max Kepler*,MIN
Ke'Bryan Hayes,PIT
Player,Team
Korey Lee,CHW
Kiké Hernández,LAD
David Fry,CLE
Santiago Espinal,CIN
Bo Naylor*,CLE
Will Benson*,CIN
Byron Buxton,MIN
Geraldo Perdomo#,ARI
Nick Gonzales,PIT
Josh Lowe*,TBR
Alejandro Kirk,TOR
Tyler Freeman,CLE
Jake Fraley*,CIN
Thairo Estrada,SFG
Spencer Horwitz*,TOR
Spencer Torkelson,DET
Anthony Rizzo*,NYY
Starling Marte,NYM
Lenyn Sosa,CHW
Freddy Fermin,KCR
Carlos Correa,MIN
Abraham Toro#,OAK
Miguel Amaya,CHC
Johan Rojas,PHI
Jonny DeLuca,TBR
Brandon Drury,LAA
Willson Contreras,STL
Michael Massey*,KCR
Will Brennan*,CLE
Gabriel Moreno,ARI
Elias Díaz,2TM
Elias Díaz,COL
Elias Díaz,SDP
Mike Tauchman*,CHC
Eloy Jiménez,2TM
Player,Team
Eloy Jiménez,CHW
Eloy Jiménez,BAL
Jake Bauers*,MIL
Jake Cave*,COL
Amed Rosario,3TM
Amed Rosario,2TM
Amed Rosario,TBR
Amed Rosario,LAD
Amed Rosario,CIN
Tyrone Taylor,NYM
Manuel Margot,MIN
Francisco Alvarez,NYM
Travis d'Arnaud,ATL
Tyler Fitzgerald,SFG
TJ Friedl*,CIN
Kyle Tucker*,HOU
Jake Rogers,DET
Miguel Rojas,LAD
Bo Bichette,TOR
James Wood*,WSN
Nick Fortes,MIA
Whit Merrifield,2TM
Whit Merrifield,PHI
Whit Merrifield,ATL
Michael Siani*,STL
Adam Duvall,ATL
Ben Rortvedt*,TBR
Oswaldo Cabrera#,NYY
Royce Lewis,MIN
Zach McKinstry*,DET
Danny Jansen,2TM
Danny Jansen,TOR
Danny Jansen,BOS
Miguel Andujar,OAK
Eddie Rosario*,2TM
Player,Team
Eddie Rosario*,WSN
Eddie Rosario*,ATL
David Hamilton*,BOS
Richie Palacios*,TBR
Christian Vázquez,MIN
Christian Yelich*,MIL
Kevin Pillar,2TM
Kevin Pillar,CHW
Kevin Pillar,LAA
Joey Meneses,WSN
Carson Kelly,2TM
Carson Kelly,DET
Carson Kelly,TEX
Kevin Newman,ARI
Donovan Solano,SDP
Ramón Laureano,2TM
Ramón Laureano,CLE
Ramón Laureano,ATL
Rob Refsnyder,BOS
Dominic Smith*,2TM
Dominic Smith*,BOS
Dominic Smith*,CIN
Luis Rengifo#,LAA
Xavier Edwards#,MIA
Ildemaro Vargas#,WSN
Emmanuel Rivera,2TM
Emmanuel Rivera,MIA
Emmanuel Rivera,BAL
Edouard Julien*,MIN
Ramón Urías,BAL
Michael A. Taylor,PIT
Luis Campusano,SDP
Parker Meadows*,DET
Nolan Jones*,COL
Kerry Carpenter*,DET
Player,Team
Víctor Robles,2TM
Víctor Robles,WSN
Víctor Robles,SEA
Adam Frazier*,KCR
Max Muncy*,LAD
Jose Iglesias,NYM
Javier Báez,DET
Ezequiel Durán,TEX
Joey Bart,PIT
Jacob Stallings,COL
Kevin Kiermaier*,2TM
Kevin Kiermaier*,TOR
Kevin Kiermaier*,LAD
Gary Sánchez,MIL
Randal Grichuk,ARI
Vidal Bruján#,MIA
Tyler Nevin,OAK
Jack Suwinski*,PIT
Nick Gordon*,MIA
Victor Caratini#,HOU
Edmundo Sosa,PHI
Jonah Bride,MIA
Brett Wisely*,SFG
Chas McCormick,HOU
Nick Senzel,2TM
Nick Senzel,WSN
Nick Senzel,CHW
Dylan Carlson#,2TM
Dylan Carlson#,STL
Dylan Carlson#,TBR
Sean Murphy,ATL
Kyle Higashioka,SDP
Joey Loperfido*,2TM
Joey Loperfido*,HOU
Joey Loperfido*,TOR
Player,Team
Matt Wallner*,MIN
Joey Gallo*,WSN
David Peralta*,SDP
Iván Herrera,STL
Jason Heyward*,2TM
Jason Heyward*,LAD
Jason Heyward*,HOU
Austin Martin,MIN
Austin Hays,2TM
Austin Hays,BAL
Austin Hays,PHI
Willie Calhoun*,LAA
Taylor Walls#,TBR
Juan Yepez,WSN
Elehuris Montero,COL
Chris Taylor,LAD
Harold Ramírez,2TM
Harold Ramírez,TBR
Harold Ramírez,WSN
Robbie Grossman#,3TM
Robbie Grossman#,CHW
Robbie Grossman#,TEX
Robbie Grossman#,KCR
Andy Ibáñez,DET
Triston Casas*,BOS
Yasmani Grandal#,PIT
Kyle Farmer,MIN
Wilmer Flores,SFG
Noelvi Marté,CIN
Tim Anderson,MIA
Dominic Fletcher*,CHW
Anthony Rendon,LAA
Miguel Vargas,2TM
Miguel Vargas,LAD
Miguel Vargas,CHW
Player,Team
Jose Trevino,NYY
Stuart Fairchild,CIN
James McCann,BAL
Garrett Hampson,KCR
Justyn-Henry Malloy,DET
Nelson Velázquez,KCR
DJ LeMahieu,NYY
Nick Ahmed,3TM
Nick Ahmed,SFG
Nick Ahmed,LAD
Nick Ahmed,SDP
Addison Barger*,TOR
Hunter Goodman,COL
Garrett Mitchell*,MIL
Cavan Biggio*,3TM
Cavan Biggio*,2TM
Cavan Biggio*,TOR
Cavan Biggio*,LAD
Cavan Biggio*,ATL
Enmanuel Valdéz*,BOS
Ronald Acuña Jr.,ATL
Daniel Schneemann*,CLE
Pedro Pagés,STL
Romy González,BOS
Tyler Soderstrom*,OAK
Austin Slater,3TM
Austin Slater,2TM
Austin Slater,SFG
Austin Slater,CIN
Austin Slater,BAL
Trey Lipscomb,WSN
Leo Jiménez,TOR
Trent Grisham*,NYY
Kyle Stowers*,2TM
Kyle Stowers*,BAL
Player,Team
Kyle Stowers*,MIA
Jackson Holliday*,BAL
Jorge Mateo,BAL
Travis Jankowski*,TEX
Jhonkensy Noel,CLE
Edward Olivares,PIT
DJ Stewart*,NYM
Connor Norby,2TM
Connor Norby,BAL
Connor Norby,MIA
Corey Julks,CHW
Dominic Canzone*,SEA
Josh Jung,TEX
Garrett Stubbs*,PHI
Luis Guillorme*,3TM
Luis Guillorme*,2TM
Luis Guillorme*,ATL
Luis Guillorme*,LAA
Luis Guillorme*,ARI
Daz Cameron,OAK
Matt Thaiss*,LAA
Blaze Alexander,ARI
Brooks Lee#,MIN
Jordan Beck,COL
Cristian Pache,3TM
Cristian Pache,2TM
Cristian Pache,PHI
Cristian Pache,BAL
Cristian Pache,MIA
Alex Kirilloff*,MIN
Ben Rice*,NYY
Jordan Walker,STL
Junior Caminero,TBR
Patrick Wisdom,CHC
Derek Hill,3TM
Player,Team
Derek Hill,2TM
Derek Hill,TEX
Derek Hill,SFG
Derek Hill,MIA
Brett Baty*,NYM
Nick Loftin,KCR
Ángel Martínez#,CLE
José Tena*,2TM
José Tena*,CLE
José Tena*,WSN
Nick Martini*,CIN
Evan Carter*,TEX
Gabriel Arias,CLE
Sam Hilliard*,COL
Jung Hoo Lee*,SFG
Reese McGuire*,BOS
Pavin Smith*,ARI
Matt Carpenter*,STL
Kyle McCann*,OAK
J.D. Davis,2TM
J.D. Davis,OAK
J.D. Davis,NYY
Austin Barnes,LAD
Kyle Manzardo*,CLE
Luis Matos,SFG
James Outman*,LAD
Tyler Wade*,SDP
Kris Bryant,COL
Alex Jackson,TBR
Victor Scott II*,STL
Luke Maile,CIN
Tommy Edman#,LAD
Martín Maldonado,CHW
Christian Bethancourt,2TM
Christian Bethancourt,MIA
Player,Team
Christian Bethancourt,CHC
Austin Hedges,CLE
Jonathan Aranda*,TBR
Andruw Monasterio,MIL
Danny Mendick,CHW
Tomás Nido,2TM
Tomás Nido,NYM
Tomás Nido,CHC
Darell Hernaiz,OAK
Dairon Blanco,KCR
Andrés Chaparro,WSN
Dylan Crews,WSN
Curtis Mead,TBR
Riley Adams,WSN
Grant McCray*,SFG
Luis Torrens,NYM
Mike Trout,LAA
Curt Casali,SFG
Michael Stefanic,LAA
Christian Encarnacion-Strand,CIN
Brett Harris,OAK
Henry Davis,PIT
Brooks Baldwin#,CHW
José Abreu,HOU
Kody Clemens*,PHI
Jerar Encarnación,SFG
Trey Sweeney*,DET
Garrett Cooper,2TM
Garrett Cooper,CHC
Garrett Cooper,BOS
Vaughn Grissom,BOS
José Herrera#,ARI
Heston Kjerstad*,BAL
Alex Call,WSN
Casey Schmitt,SFG
Player,Team
Estevan Florial*,CLE
Ryan Noda*,OAK
Luis Urías,SEA
Sean Bouchard,COL
Dane Myers,MIA
Bryan Ramos,CHW
Niko Kavadas*,LAA
Miles Mastrobuoni*,CHC
Trevor Story,BOS
Nick Allen,OAK
Oliver Dunn*,MIL
Alek Thomas*,ARI
Jacob Wilson,OAK
Ben Gamel*,2TM
Ben Gamel*,NYM
Ben Gamel*,HOU
Aaron Schunk,COL
Weston Wilson,PHI
Tucker Barnhart*,ARI
Yan Gomes,CHC
Ali Sánchez,MIA
Alika Williams,PIT
Miguel Sanó,LAA
Jace Jung*,DET
Nick Madrigal,CHC
Bobby Dalbec,BOS
Andrew Knizner,TEX
Trey Cabbage*,HOU
Nathan Lukes*,TOR
Griffin Conine*,MIA
Zack Short,3TM
Zack Short,2TM
Zack Short,NYM
Zack Short,BOS
Zack Short,ATL
Player,Team
Adrian Del Castillo*,ARI
Dillon Dingler,DET
Leo Rivas#,SEA
Nick Sogard#,BOS
Will Wagner*,TOR
Akil Baddoo*,DET
Ji Hwan Bae*,PIT
Marco Luciano,SFG
Brandon Crawford*,STL
José Azócar,SDP
José Fermín,STL
Daniel Vogelbach*,TOR
Nasim Nuñez#,WSN
Joshua Palacios*,PIT
Chuckie Robinson,CHW
Zach DeLoach*,CHW
Bligh Madris*,DET
Jon Berti,NYY
Eric Wagaman,LAA
Bryce Johnson#,SDP
Jacob Amaya,2TM
Jacob Amaya,HOU
Jacob Amaya,CHW
Ryan Bliss,SEA
Jack López,LAA
Brian Serven,TOR
Eric Haase,MIL
Omar Narváez*,NYM
Jacob Hurtubise*,CIN
Jasson Domínguez#,NYY
Braden Shewmake*,CHW
Alan Trejo,COL
Jonatan Clase#,2TM
Jonatan Clase#,SEA
Jonatan Clase#,TOR
Player,Team
Zach Dezenzo,HOU
Yuli Gurriel,KCR
Ryan Kreidler,DET
Esteury Ruiz,OAK
Pablo Reyes,2TM
Pablo Reyes,BOS
Pablo Reyes,NYM
Aaron Hicks#,LAA
David Dahl*,PHI
Mike Ford*,CIN
Drew Millas#,WSN
Jared Walsh*,TEX
Kyren Paris,LAA
David Hensley,MIA
Tyler Black*,MIL
Mason McCoy,SDP
Eguy Rosario,SDP
Cole Tucker#,LAA
Rafael Marchán#,PHI
Chadwick Tromp,ATL
Drew Romo#,COL
Thomas Saggese,STL
Luke Williams,ATL
Avisaíl García,MIA
Rece Hinds,CIN
Austin Shenton*,TBR
Luken Baker,STL
Billy Cook,PIT
Tyler Locklear,SEA
René Pinto,TBR
Ryan Vilade,DET
Davis Wendzel,TEX
David Bote,CHC
Gustavo Campero#,LAA
Jamie Westbrook,BOS
Player,Team
Jahmai Jones,NYY
Coby Mayo,BAL
Shay Whitcomb,HOU
Steward Berroa#,TOR
Yoán Moncada#,CHW
Justin Foscue,TEX
Seby Zavala,SEA
Eli White,ATL
Nick Yorke,PIT
Luisangel Acuña,NYM
Jonathan Ornelas,TEX
Jhonny Pereda,MIA
Johnathan Rodríguez,CLE
Armando Alvarez,OAK
Zach Remillard,CHW
Jordyn Adams,LAA
Oscar Colás*,CHW
Tom Murphy,SFG
Blake Sabol*,SFG
Logan Driscoll*,TBR
David Villar,SFG
Joey Wendle*,NYM
Adael Amador#,COL
Javier Sanoja,MIA
Forrest Wall*,2TM
Forrest Wall*,ATL
Forrest Wall*,MIA
Aledmys Díaz,2TM
Aledmys Díaz,OAK
Aledmys Díaz,HOU
Niko Goodrum#,2TM
Niko Goodrum#,TBR
Niko Goodrum#,LAA
Nacho Alvarez Jr.,ATL
Travis Blankenhorn*,WSN
Player,Team
Graham Pauley*,SDP
César Salazar*,HOU
Luis De Los Santos,TOR
Tristan Gray*,2TM
Tristan Gray*,MIA
Tristan Gray*,OAK
Jason Vosler*,SEA
Trenton Brooks*,SFG
Blake Dunn,CIN
Ehire Adrianza#,LAA
Alexander Canario,CHC
Charles Leblanc,LAA
Billy McKinney*,PIT
Matt Mervis*,CHC
Joey Wiemer,2TM
Joey Wiemer,MIL
Joey Wiemer,CIN
Keston Hiura,LAA
Owen Miller,MIL
Cal Stevenson*,PHI
Jace Peterson*,ARI
Buddy Kennedy,2TM
Buddy Kennedy,DET
Buddy Kennedy,PHI
Grae Kessinger,HOU
Donovan Walton*,SFG
Mickey Gasper#,BOS
Pedro León,HOU
Austin Wynns,CIN
Isaac Collins#,MIL
Jason Delay,PIT
Drew Waters#,KCR
Jorge Barrosa#,ARI
Bubba Thompson,CIN
Rafael Ortega*,CHW
Player,Team
Brett Sullivan*,SDP
Sam Haggerty#,SEA
Tyler Heineman#,2TM
Tyler Heineman#,BOS
Tyler Heineman#,TOR
Liván Soto*,2TM
Liván Soto*,CIN
Liván Soto*,BAL
Kameron Misner*,TBR
Carlos Narváez,NYY
Jakson Reetz,SFG
Ryan McKenna,2TM
Ryan McKenna,BAL
Ryan McKenna,SFG
Darren Baker*,WSN
Hunter Feduccia*,LAD
DaShawn Keirsey Jr.*,MIN
Luis Vázquez,CHC
Brandon Lockridge,SDP
Bryce Teodosio,LAA
Eddy Alvarez*,NYM
Levi Jordan,CIN
Oswald Peraza,NYY
Kevin Alcántara,CHC
Matt Duffy,TEX
Michael Helman,MIN
Tony Kemp*,BAL
J.P. Martínez*,ATL
Liover Peguero,PIT
Edwin Ríos*,CIN
Rob Brantly*,TBR
Vinny Capra,MIL
David Fletcher,ATL
Cade Marlowe*,SEA
CJ Alexander*,KCR
Player,Team
Conner Capel*,CIN
Diego Castillo,MIN
Cooper Hummel#,HOU
Grant Koch,PIT
Taylor Trammell*,2TM
Taylor Trammell*,LAD
Taylor Trammell*,NYY
Jair Camargo,MIN
Aramis Garcia,PHI
Dustin Harris*,TEX
Stone Garrett,WSN
Greg Jones#,COL
Andrew Knapp#,SFG
Brian Anderson,ATL
Sandro Fabian,TEX
Tyler Gentry,KCR
Brewer Hicklen,MIL
Nick Maton*,BAL
Samad Taylor,SEA
Duke Ellis*,2TM
Duke Ellis*,CHW
Duke Ellis*,NYY
José Devers*,MIA
Sam Huff,TEX
Myles Straw,CLE
Matthew Batten,SDP
Orelvis Martínez,TOR
David Bañuelos,BAL
Luis Castillo,SEA
Daniel Johnson*,BAL
Scott McGough,ARI
Chris Roller,MIL
Eric Yang,CIN
Chase Anderson,BOS
Pedro Avila,CLE
Player,Team
Mike Baumann,2TM
Mike Baumann,BAL
Mike Baumann,SEA
Jalen Beeks*,COL
Brennan Bernardino*,BOS
John Brebbia*,CHW
Jhony Brito,SDP
Kris Bubic*,KCR
Génesis Cabrera*,TOR
Isaiah Campbell,BOS
Danny Coulombe*,BAL
Jeff Criswell,COL
Fernando Cruz#,CIN
Alexis Díaz,CIN
Edwin Díaz,NYM
Jake Diekman,NYM
Seranthony Domínguez,BAL
Mason Englert#,DET
Buck Farmer*,CIN
Ryan Fernandez,STL
Kyle Finnegan,WSN
Jason Foley,DET
Kyle Freeland*,COL
Luis Frías,ARI
Hunter Gaddis,CLE
Kevin Ginkel*,ARI
Chad Green*,TOR
Josh Hader*,HOU
Seth Halvorsen,COL
Hunter Harvey,KCR
Jonathan Heasley,BAL
Ryan Helsley,STL
Kevin Herget*,MIL
Jonathan Hernández,TEX
Porter Hodge,CHC
Player,Team
Spencer Howard,CLE
Joe Hudson,NYM
Kenley Jansen#,BOS
Bryce Jarvis*,ARI
Craig Kimbrel,BAL
Bryan King,HOU
John King*,STL
Tyler Kinley,COL
Andrew Kittredge,STL
Matt Koch*,COL
Michael Kopech,CHW
Peter Lambert,COL
Jacob Latz,TEX
Derek Law,WSN
Justin Lawrence,COL
Kyle Leahy#,STL
José Leclerc,TEX
Jorge López,NYM
Joe Mantiply,ARI
Chris Martin,BOS
Justin Martínez,ARI
James McArthur,KCR
Nick Mears,COL
Trevor Megill*,MIL
Julian Merryweather,CHC
Hoby Milner*,MIL
Héctor Neris,CHC
Joel Payamps,MIL
Elvis Peguero,MIL
Zach Penrod*,BOS
Ryan Pressly,HOU
A.J. Puk*,ARI
José Quijada*,LAA
David Robertson,TEX
Yerry Rodríguez,TEX
Player,Team
JoJo Romero*,STL
Paul Sewald,ARI
Chase Shugart*,BOS
Lucas Sims,CIN
Kevin Smith,NYY
Ryne Stanek,SEA
Albert Suárez,BAL
Ryan Thompson,ARI
Trent Thornton,SEA
José Ureña,TEX
Victor Vodnik,COL
Austin Voth,SEA
Jacob Webb,BAL
Mitch White,MIL
Owen White,TEX
Justin Wilson*,CIN
Josh Winckowski,BOS
Kirby Yates*,TEX
Alex Young*,CIN
Guillo Zuñiga,LAA
