,player,1_hits_count_over,2_hits_count_over,3_hits_count_over,4_hits_count_over,games_played_over,1_hits_rate_over,2_hits_rate_over,3_hits_rate_over,4_hits_rate_over,1_hits_count_under,2_hits_count_under,3_hits_count_under,4_hits_count_under,games_played_under,1_hits_rate_under,2_hits_rate_under,3_hits_rate_under,4_hits_rate_under
80,Julio Rodriguez,36,15,7,2,47,0.7659574468085106,0.3191489361702128,0.14893617021276595,0.0425531914893617,23,11,4,2,48,0.4791666666666667,0.22916666666666666,0.08333333333333333,0.041666666666666664
81,Jung Hoo Lee,37,14,4,0,56,0.6607142857142857,0.25,0.07142857142857142,0.0,24,6,2,0,39,0.6153846153846154,0.15384615384615385,0.05128205128205128,0.0
82,Junior Caminero,26,9,4,0,34,0.7647058823529411,0.2647058823529412,0.11764705882352941,0.0,27,8,3,0,44,0.6136363636363636,0.18181818181818182,0.06818181818181818,0.0
83,Justin Turner,25,10,2,0,36,0.6944444444444444,0.2777777777777778,0.05555555555555555,0.0,22,4,2,0,47,0.46808510638297873,0.0851063829787234,0.0425531914893617,0.0
84,Ke'Bryan Hayes,24,10,1,0,35,0.6857142857142857,0.2857142857142857,0.02857142857142857,0.0,27,10,0,0,40,0.675,0.25,0.0,0.0
85,Keibert Ruiz,46,17,6,0,57,0.8070175438596491,0.2982456140350877,0.10526315789473684,0.0,26,7,1,0,48,0.5416666666666666,0.14583333333333334,0.020833333333333332,0.0
86,Kyle Isbel,27,9,4,0,54,0.5,0.16666666666666666,0.07407407407407407,0.0,21,5,1,0,48,0.4375,0.10416666666666667,0.020833333333333332,0.0
87,Kyle Stowers,23,9,2,0,39,0.5897435897435898,0.23076923076923078,0.05128205128205128,0.0,20,4,2,1,43,0.46511627906976744,0.09302325581395349,0.046511627906976744,0.023255813953488372
88,LaMonte Wade Jr.,16,8,1,0,35,0.45714285714285713,0.22857142857142856,0.02857142857142857,0.0,23,7,1,0,57,0.40350877192982454,0.12280701754385964,0.017543859649122806,0.0
89,Lars Nootbaar,20,9,0,0,31,0.6451612903225806,0.2903225806451613,0.0,0.0,41,15,2,0,72,0.5694444444444444,0.20833333333333334,0.027777777777777776,0.0
90,Lawrence Butler,43,21,5,1,56,0.7678571428571429,0.375,0.08928571428571429,0.017857142857142856,38,10,4,0,56,0.6785714285714286,0.17857142857142858,0.07142857142857142,0.0
91,Lenyn Sosa,35,15,0,0,55,0.6363636363636364,0.2727272727272727,0.0,0.0,26,10,3,0,44,0.5909090909090909,0.22727272727272727,0.06818181818181818,0.0
92,Leody Taveras,30,10,2,0,59,0.5084745762711864,0.1694915254237288,0.03389830508474576,0.0,19,8,2,0,44,0.4318181818181818,0.18181818181818182,0.045454545454545456,0.0
93,Logan O'Hoppe,18,9,4,1,35,0.5142857142857142,0.2571428571428571,0.11428571428571428,0.02857142857142857,27,8,2,1,56,0.48214285714285715,0.14285714285714285,0.03571428571428571,0.017857142857142856
94,Lourdes Gurriel Jr.,25,13,2,0,35,0.7142857142857143,0.37142857142857144,0.05714285714285714,0.0,36,12,2,0,54,0.6666666666666666,0.2222222222222222,0.037037037037037035,0.0
95,Luis Arraez,44,25,12,2,57,0.7719298245614035,0.43859649122807015,0.21052631578947367,0.03508771929824561,25,14,5,0,43,0.5813953488372093,0.32558139534883723,0.11627906976744186,0.0
96,Luis Garcia Jr.,38,17,3,1,56,0.6785714285714286,0.30357142857142855,0.05357142857142857,0.017857142857142856,29,13,2,0,51,0.5686274509803921,0.2549019607843137,0.0392156862745098,0.0
97,Luis Robert Jr.,29,8,3,0,49,0.5918367346938775,0.16326530612244897,0.061224489795918366,0.0,29,11,2,1,57,0.5087719298245614,0.19298245614035087,0.03508771929824561,0.017543859649122806
98,Luke Raley,21,8,1,0,40,0.525,0.2,0.025,0.0,18,4,0,0,44,0.4090909090909091,0.09090909090909091,0.0,0.0
99,MJ Melendez,18,4,0,0,35,0.5142857142857142,0.11428571428571428,0.0,0.0,17,5,3,0,38,0.4473684210526316,0.13157894736842105,0.07894736842105263,0.0
100,Maikel Garcia,37,17,3,0,57,0.6491228070175439,0.2982456140350877,0.05263157894736842,0.0,31,8,2,0,56,0.5535714285714286,0.14285714285714285,0.03571428571428571,0.0
101,Manny Machado,41,21,5,2,58,0.7068965517241379,0.3620689655172414,0.08620689655172414,0.034482758620689655,35,17,6,0,52,0.6730769230769231,0.3269230769230769,0.11538461538461539,0.0
102,Marcell Ozuna,44,25,5,0,57,0.7719298245614035,0.43859649122807015,0.08771929824561403,0.0,32,13,2,0,54,0.5925925925925926,0.24074074074074073,0.037037037037037035,0.0
103,Marcus Semien,46,14,3,0,68,0.6764705882352942,0.20588235294117646,0.04411764705882353,0.0,29,6,1,0,46,0.6304347826086957,0.13043478260869565,0.021739130434782608,0.0
104,Mark Vientos,41,14,0,0,60,0.6833333333333333,0.23333333333333334,0.0,0.0,23,9,1,0,40,0.575,0.225,0.025,0.0
105,Masyn Winn,22,12,1,0,31,0.7096774193548387,0.3870967741935484,0.03225806451612903,0.0,39,22,3,0,64,0.609375,0.34375,0.046875,0.0
106,Matt Chapman,28,14,3,0,47,0.5957446808510638,0.2978723404255319,0.06382978723404255,0.0,33,11,2,0,61,0.5409836065573771,0.18032786885245902,0.03278688524590164,0.0
107,Max Schuemann,21,7,1,0,48,0.4375,0.14583333333333334,0.020833333333333332,0.0,19,6,1,0,49,0.3877551020408163,0.12244897959183673,0.02040816326530612,0.0
108,Michael A. Taylor,14,2,2,0,40,0.35,0.05,0.05,0.0,15,5,1,1,46,0.32608695652173914,0.10869565217391304,0.021739130434782608,0.021739130434782608
109,Michael Busch,29,12,6,0,53,0.5471698113207547,0.22641509433962265,0.11320754716981132,0.0,25,12,3,3,53,0.4716981132075472,0.22641509433962265,0.05660377358490566,0.05660377358490566
110,Michael Harris II,27,12,5,0,42,0.6428571428571429,0.2857142857142857,0.11904761904761904,0.0,22,8,4,0,35,0.6285714285714286,0.22857142857142856,0.11428571428571428,0.0
111,Michael Massey,30,11,2,0,51,0.5882352941176471,0.21568627450980393,0.0392156862745098,0.0,26,7,2,0,51,0.5098039215686274,0.13725490196078433,0.0392156862745098,0.0
112,Michael Toglia,22,8,3,0,34,0.6470588235294118,0.23529411764705882,0.08823529411764706,0.0,45,10,3,0,81,0.5555555555555556,0.12345679012345678,0.037037037037037035,0.0
113,Miguel Amaya,26,11,3,1,41,0.6341463414634146,0.2682926829268293,0.07317073170731707,0.024390243902439025,15,5,2,0,32,0.46875,0.15625,0.0625,0.0
114,Mike Yastrzemski,32,13,2,0,45,0.7111111111111111,0.28888888888888886,0.044444444444444446,0.0,28,12,2,0,59,0.4745762711864407,0.2033898305084746,0.03389830508474576,0.0
115,Mitch Garver,13,6,2,0,32,0.40625,0.1875,0.0625,0.0,11,1,0,0,31,0.3548387096774194,0.03225806451612903,0.0,0.0
116,Nick Castellanos,26,12,2,0,38,0.6842105263157895,0.3157894736842105,0.05263157894736842,0.0,45,19,4,0,66,0.6818181818181818,0.2878787878787879,0.06060606060606061,0.0
117,Nico Hoerner,45,17,4,0,60,0.75,0.2833333333333333,0.06666666666666667,0.0,34,16,3,0,50,0.68,0.32,0.06,0.0
118,Noelvi Marte,20,10,4,1,36,0.5555555555555556,0.2777777777777778,0.1111111111111111,0.027777777777777776,20,5,0,0,37,0.5405405405405406,0.13513513513513514,0.0,0.0
119,Nolan Schanuel,27,9,1,0,39,0.6923076923076923,0.23076923076923078,0.02564102564102564,0.0,38,11,4,0,60,0.6333333333333333,0.18333333333333332,0.06666666666666667,0.0
120,Oswaldo Cabrera,20,7,0,0,36,0.5555555555555556,0.19444444444444445,0.0,0.0,18,8,1,0,39,0.46153846153846156,0.20512820512820512,0.02564102564102564,0.0
121,Otto Lopez,29,10,3,0,38,0.7631578947368421,0.2631578947368421,0.07894736842105263,0.0,29,12,2,0,46,0.6304347826086957,0.2608695652173913,0.043478260869565216,0.0
122,Ozzie Albies,22,7,1,0,34,0.6470588235294118,0.20588235294117646,0.029411764705882353,0.0,18,6,1,0,31,0.5806451612903226,0.1935483870967742,0.03225806451612903,0.0
123,Patrick Bailey,19,10,1,0,36,0.5277777777777778,0.2777777777777778,0.027777777777777776,0.0,21,4,1,0,56,0.375,0.07142857142857142,0.017857142857142856,0.0
124,Pete Alonso,45,20,3,0,71,0.6338028169014085,0.28169014084507044,0.04225352112676056,0.0,27,8,1,0,44,0.6136363636363636,0.18181818181818182,0.022727272727272728,0.0
125,Rafael Devers,30,14,3,1,44,0.6818181818181818,0.3181818181818182,0.06818181818181818,0.022727272727272728,37,18,6,1,64,0.578125,0.28125,0.09375,0.015625
126,Ramon Urias,18,8,4,0,31,0.5806451612903226,0.25806451612903225,0.12903225806451613,0.0,20,6,1,0,37,0.5405405405405406,0.16216216216216217,0.02702702702702703,0.0
127,Randy Arozarena,31,9,0,0,47,0.6595744680851063,0.19148936170212766,0.0,0.0,37,13,2,1,59,0.6271186440677966,0.22033898305084745,0.03389830508474576,0.01694915254237288
128,Riley Greene,29,12,3,0,42,0.6904761904761905,0.2857142857142857,0.07142857142857142,0.0,30,14,6,1,56,0.5357142857142857,0.25,0.10714285714285714,0.017857142857142856
129,Romy Gonzalez,20,7,1,0,33,0.6060606060606061,0.21212121212121213,0.030303030303030304,0.0,21,4,1,0,43,0.4883720930232558,0.09302325581395349,0.023255813953488372,0.0
130,Ryan Jeffers,23,11,1,0,37,0.6216216216216216,0.2972972972972973,0.02702702702702703,0.0,22,7,2,0,49,0.4489795918367347,0.14285714285714285,0.04081632653061224,0.0
131,Ryan Mountcastle,24,8,2,0,36,0.6666666666666666,0.2222222222222222,0.05555555555555555,0.0,25,8,3,0,40,0.625,0.2,0.075,0.0
132,Ryan O'Hearn,58,20,4,0,101,0.5742574257425742,0.19801980198019803,0.039603960396039604,0.0,40,12,1,0,88,0.45454545454545453,0.13636363636363635,0.011363636363636364,0.0
133,Sal Frelick,34,6,2,0,56,0.6071428571428571,0.10714285714285714,0.03571428571428571,0.0,25,9,3,2,45,0.5555555555555556,0.2,0.06666666666666667,0.044444444444444446
134,Salvador Perez,41,17,2,0,59,0.6949152542372882,0.288135593220339,0.03389830508474576,0.0,32,11,3,0,55,0.5818181818181818,0.2,0.05454545454545454,0.0
135,Santiago Espinal,23,10,3,0,36,0.6388888888888888,0.2777777777777778,0.08333333333333333,0.0,26,11,2,1,49,0.5306122448979592,0.22448979591836735,0.04081632653061224,0.02040816326530612
136,Seiya Suzuki,34,18,3,1,51,0.6666666666666666,0.35294117647058826,0.058823529411764705,0.0196078431372549,33,20,4,0,54,0.6111111111111112,0.37037037037037035,0.07407407407407407,0.0
137,Shohei Ohtani,41,15,7,3,55,0.7454545454545455,0.2727272727272727,0.12727272727272726,0.05454545454545454,36,24,4,0,55,0.6545454545454545,0.43636363636363634,0.07272727272727272,0.0
138,Spencer Steer,32,10,1,0,43,0.7441860465116279,0.23255813953488372,0.023255813953488372,0.0,27,4,1,0,60,0.45,0.06666666666666667,0.016666666666666666,0.0
139,Spencer Torkelson,24,8,2,0,37,0.6486486486486487,0.21621621621621623,0.05405405405405406,0.0,24,9,1,1,45,0.5333333333333333,0.2,0.022222222222222223,0.022222222222222223
140,Steven Kwan,27,13,2,1,39,0.6923076923076923,0.3333333333333333,0.05128205128205128,0.02564102564102564,44,17,3,0,67,0.6567164179104478,0.2537313432835821,0.04477611940298507,0.0
141,TJ Friedl,26,11,5,2,41,0.6341463414634146,0.2682926829268293,0.12195121951219512,0.04878048780487805,30,8,2,1,53,0.5660377358490566,0.1509433962264151,0.03773584905660377,0.018867924528301886
142,Taylor Walls,19,3,1,0,41,0.4634146341463415,0.07317073170731707,0.024390243902439025,0.0,21,6,1,1,59,0.3559322033898305,0.1016949152542373,0.01694915254237288,0.01694915254237288
143,Taylor Ward,60,16,3,0,101,0.594059405940594,0.15841584158415842,0.0297029702970297,0.0,54,13,3,0,94,0.574468085106383,0.13829787234042554,0.031914893617021274,0.0
144,Teoscar Hernandez,33,18,7,1,44,0.75,0.4090909090909091,0.1590909090909091,0.022727272727272728,38,11,1,1,53,0.7169811320754716,0.20754716981132076,0.018867924528301886,0.018867924528301886
145,Tommy Pham,22,6,2,0,38,0.5789473684210527,0.15789473684210525,0.05263157894736842,0.0,29,14,2,0,58,0.5,0.2413793103448276,0.034482758620689655,0.0
146,Trea Turner,24,9,4,0,34,0.7058823529411765,0.2647058823529412,0.11764705882352941,0.0,46,22,6,1,68,0.6764705882352942,0.3235294117647059,0.08823529411764706,0.014705882352941176
147,Trent Grisham,19,7,3,0,32,0.59375,0.21875,0.09375,0.0,20,4,0,0,41,0.4878048780487805,0.0975609756097561,0.0,0.0
148,Trevor Larnach,31,12,1,0,48,0.6458333333333334,0.25,0.020833333333333332,0.0,29,8,2,1,54,0.5370370370370371,0.14814814814814814,0.037037037037037035,0.018518518518518517
149,Trey Sweeney,22,7,4,1,33,0.6666666666666666,0.21212121212121213,0.12121212121212122,0.030303030303030304,19,3,0,0,41,0.4634146341463415,0.07317073170731707,0.0,0.0
150,Ty France,31,11,4,0,52,0.5961538461538461,0.21153846153846154,0.07692307692307693,0.0,26,12,4,1,53,0.49056603773584906,0.22641509433962265,0.07547169811320754,0.018867924528301886
151,Tyler Fitzgerald,24,8,3,0,32,0.75,0.25,0.09375,0.0,31,13,4,0,50,0.62,0.26,0.08,0.0
152,Vinnie Pasquantino,35,18,5,0,49,0.7142857142857143,0.3673469387755102,0.10204081632653061,0.0,24,11,2,1,43,0.5581395348837209,0.2558139534883721,0.046511627906976744,0.023255813953488372
153,Vladimir Guerrero Jr.,47,24,9,1,62,0.7580645161290323,0.3870967741935484,0.14516129032258066,0.016129032258064516,38,15,7,1,54,0.7037037037037037,0.2777777777777778,0.12962962962962962,0.018518518518518517
154,Will Smith,23,15,1,0,40,0.575,0.375,0.025,0.0,27,11,3,0,47,0.574468085106383,0.23404255319148937,0.06382978723404255,0.0
155,Willi Castro,23,7,1,0,38,0.6052631578947368,0.18421052631578946,0.02631578947368421,0.0,34,8,3,0,61,0.5573770491803278,0.13114754098360656,0.04918032786885246,0.0
156,Wilyer Abreu,29,11,4,0,53,0.5471698113207547,0.20754716981132076,0.07547169811320754,0.0,29,9,4,0,58,0.5,0.15517241379310345,0.06896551724137931,0.0
157,Wyatt Langford,40,12,5,0,57,0.7017543859649122,0.21052631578947367,0.08771929824561403,0.0,26,8,4,1,46,0.5652173913043478,0.17391304347826086,0.08695652173913043,0.021739130434782608
158,Xavier Edwards,32,16,2,1,40,0.8,0.4,0.05,0.025,44,19,2,2,59,0.7457627118644068,0.3220338983050847,0.03389830508474576,0.03389830508474576
159,Yandy Diaz,71,36,15,1,93,0.7634408602150538,0.3870967741935484,0.16129032258064516,0.010752688172043012,72,25,4,0,111,0.6486486486486487,0.22522522522522523,0.036036036036036036,0.0
160,Yordan Alvarez,35,16,5,2,49,0.7142857142857143,0.32653061224489793,0.10204081632653061,0.04081632653061224,24,9,1,1,42,0.5714285714285714,0.21428571428571427,0.023809523809523808,0.023809523809523808
161,Zach McKinstry,22,7,1,0,40,0.55,0.175,0.025,0.0,31,12,2,0,63,0.49206349206349204,0.19047619047619047,0.031746031746031744,0.0
